	21,0,0.001467,0.000000
0	0,6,0.000000,0.000318
00	19,14,0.001327,0.000741
000	25,27,0.001746,0.001430
001	2,1,0.000140,0.000053
0011	1,0,0.000070,0.000000
00450	0,1,0.000000,0.000053
0080	0,1,0.000000,0.000053
01	18,7,0.001257,0.000371
012	4,0,0.000279,0.000000
02	19,0,0.001327,0.000000
028	1,0,0.000070,0.000000
0281	1,0,0.000070,0.000000
03	3,0,0.000210,0.000000
036474336	1,0,0.000070,0.000000
04	7,0,0.000489,0.000000
048	0,1,0.000000,0.000053
05	3,1,0.000210,0.000053
055	2,0,0.000140,0.000000
06	15,6,0.001048,0.000318
0643	1,0,0.000070,0.000000
07	8,2,0.000559,0.000106
08	22,0,0.001537,0.000000
081	2,0,0.000140,0.000000
088889774	1,0,0.000070,0.000000
09	20,1,0.001397,0.000053
1	26,42,0.001816,0.002224
10	29,15,0.002026,0.000794
100	0,19,0.000000,0.001006
100038	1,0,0.000070,0.000000
1016	0,1,0.000000,0.000053
103	0,1,0.000000,0.000053
107	0,1,0.000000,0.000053
108	1,0,0.000070,0.000000
11	9,6,0.000629,0.000318
114427	1,0,0.000070,0.000000
12	66,8,0.004610,0.000424
120	0,1,0.000000,0.000053
1200	2,0,0.000140,0.000000
122	0,1,0.000000,0.000053
123	0,3,0.000000,0.000159
123395	1,0,0.000070,0.000000
124	0,3,0.000000,0.000159
125	0,2,0.000000,0.000106
126	0,2,0.000000,0.000106
13	10,3,0.000699,0.000159
134	0,1,0.000000,0.000053
14	30,3,0.002096,0.000159
146907159	1,0,0.000070,0.000000
148415904	1,0,0.000070,0.000000
1488230796	0,1,0.000000,0.000053
149	1,0,0.000070,0.000000
15	9,16,0.000629,0.000847
150	0,1,0.000000,0.000053
1500	0,1,0.000000,0.000053
151	1,0,0.000070,0.000000
1517	1,0,0.000070,0.000000
16	3,2,0.000210,0.000106
161	0,1,0.000000,0.000053
1687	1,0,0.000070,0.000000
1689	1,0,0.000070,0.000000
17	11,8,0.000768,0.000424
18	4,14,0.000279,0.000741
1814	1,0,0.000070,0.000000
1848	0,1,0.000000,0.000053
1864	1,0,0.000070,0.000000
19	6,3,0.000419,0.000159
1928	1,0,0.000070,0.000000
1930	1,0,0.000070,0.000000
1932	1,0,0.000070,0.000000
1933	1,0,0.000070,0.000000
1934	1,0,0.000070,0.000000
1935	1,0,0.000070,0.000000
1936	1,0,0.000070,0.000000
1938	1,0,0.000070,0.000000
1941	1,0,0.000070,0.000000
1942	1,0,0.000070,0.000000
1944	1,0,0.000070,0.000000
1945	1,0,0.000070,0.000000
1947	1,0,0.000070,0.000000
1949	1,0,0.000070,0.000000
1953	0,1,0.000000,0.000053
1980	2,0,0.000140,0.000000
1990	2,0,0.000140,0.000000
1992	3,0,0.000210,0.000000
1997	3,0,0.000210,0.000000
1998	2,0,0.000140,0.000000
1999	8,2,0.000559,0.000106
2	27,55,0.001886,0.002912
20	9,11,0.000629,0.000582
200	2,1,0.000140,0.000053
2000	21,9,0.001467,0.000477
2001	21,8,0.001467,0.000424
2002	0,2,0.000000,0.000106
2003	0,19,0.000000,0.001006
2004	0,16,0.000000,0.000847
2005	3,0,0.000210,0.000000
201	2,0,0.000140,0.000000
2020	0,1,0.000000,0.000053
2086	1,0,0.000070,0.000000
209318	0,1,0.000000,0.000053
21	1,2,0.000070,0.000106
211075433222	0,2,0.000000,0.000106
212	3,0,0.000210,0.000000
213	1,0,0.000070,0.000000
2152	1,0,0.000070,0.000000
22	6,2,0.000419,0.000106
224	1,0,0.000070,0.000000
229	2,0,0.000140,0.000000
23	1,3,0.000070,0.000159
230	0,1,0.000000,0.000053
234	0,1,0.000000,0.000053
24	18,9,0.001257,0.000477
249	0,2,0.000000,0.000106
2497	0,1,0.000000,0.000053
25	0,4,0.000000,0.000212
250	0,1,0.000000,0.000053
2500	1,0,0.000070,0.000000
252050406	1,0,0.000070,0.000000
255326837	1,0,0.000070,0.000000
256	0,1,0.000000,0.000053
25711	0,2,0.000000,0.000106
2575	0,4,0.000000,0.000212
259	0,1,0.000000,0.000053
26	3,2,0.000210,0.000106
260	0,2,0.000000,0.000106
263	0,2,0.000000,0.000106
2666	1,0,0.000070,0.000000
27	3,3,0.000210,0.000159
27049	2,0,0.000140,0.000000
2753	1,0,0.000070,0.000000
28	4,6,0.000279,0.000318
2807	1,0,0.000070,0.000000
281	1,0,0.000070,0.000000
2868	1,0,0.000070,0.000000
29	4,6,0.000279,0.000318
29155	0,1,0.000000,0.000053
2963	1,0,0.000070,0.000000
299	0,1,0.000000,0.000053
3	17,19,0.001187,0.001006
30	10,10,0.000699,0.000529
300	5,4,0.000349,0.000212
3000	0,2,0.000000,0.000106
3011	1,0,0.000070,0.000000
306	1,1,0.000070,0.000053
31	2,2,0.000140,0.000106
312	1,0,0.000070,0.000000
3130	1,0,0.000070,0.000000
31615304791	0,1,0.000000,0.000053
32	1,11,0.000070,0.000582
321	0,1,0.000000,0.000053
3267	0,1,0.000000,0.000053
3300	0,1,0.000000,0.000053
33155	0,1,0.000000,0.000053
332	1,0,0.000070,0.000000
33282	1,0,0.000070,0.000000
33465	1,0,0.000070,0.000000
3359	1,0,0.000070,0.000000
33597	1,0,0.000070,0.000000
34	3,1,0.000210,0.000053
3404	1,0,0.000070,0.000000
3405	2,0,0.000140,0.000000
34357	1,0,0.000070,0.000000
345	1,0,0.000070,0.000000
34710	1,0,0.000070,0.000000
349	0,2,0.000000,0.000106
35	1,1,0.000070,0.000053
35615	1,0,0.000070,0.000000
35782	1,0,0.000070,0.000000
36	1,1,0.000070,0.000053
37	0,1,0.000000,0.000053
37159	2,0,0.000140,0.000000
375	0,1,0.000000,0.000053
38	4,1,0.000279,0.000053
39	3,2,0.000210,0.000106
392	2,0,0.000140,0.000000
39510	2,0,0.000140,0.000000
399	0,1,0.000000,0.000053
39934	2,0,0.000140,0.000000
4	10,25,0.000699,0.001324
40	3,6,0.000210,0.000318
4073	1,0,0.000070,0.000000
409055	0,1,0.000000,0.000053
41	1,0,0.000070,0.000000
415	4,0,0.000279,0.000000
418	0,4,0.000000,0.000212
419	0,1,0.000000,0.000053
420	0,1,0.000000,0.000053
422	0,4,0.000000,0.000212
423	0,2,0.000000,0.000106
43	1,1,0.000070,0.000053
431	1,0,0.000070,0.000000
436425795822	0,1,0.000000,0.000053
44	5,1,0.000349,0.000053
449	0,1,0.000000,0.000053
45	5,1,0.000349,0.000053
4500	2,0,0.000140,0.000000
46	1,1,0.000070,0.000053
47	1,1,0.000070,0.000053
474	0,1,0.000000,0.000053
4748	1,0,0.000070,0.000000
4887	0,1,0.000000,0.000053
49	0,1,0.000000,0.000053
499	0,2,0.000000,0.000106
5	16,18,0.001118,0.000953
50	5,10,0.000349,0.000529
500	5,3,0.000349,0.000159
5000	0,3,0.000000,0.000159
5022	0,1,0.000000,0.000053
51	1,0,0.000070,0.000000
512517	0,2,0.000000,0.000106
519	0,1,0.000000,0.000053
52	1,2,0.000070,0.000106
521	1,0,0.000070,0.000000
52109	1,0,0.000070,0.000000
52477	0,1,0.000000,0.000053
529	0,3,0.000000,0.000159
5290	2,0,0.000140,0.000000
54	1,3,0.000070,0.000159
54804	1,0,0.000070,0.000000
549	1,0,0.000070,0.000000
55	4,0,0.000279,0.000000
553	1,0,0.000070,0.000000
5555	2,0,0.000140,0.000000
56	0,1,0.000000,0.000053
560	1,0,0.000070,0.000000
57	0,1,0.000000,0.000053
58	1,0,0.000070,0.000000
584	1,0,0.000070,0.000000
59	1,1,0.000070,0.000053
599	0,1,0.000000,0.000053
6	11,13,0.000768,0.000688
60	1,5,0.000070,0.000265
600	0,1,0.000000,0.000053
602	1,0,0.000070,0.000000
609	0,1,0.000000,0.000053
61	0,2,0.000000,0.000106
